Time,cyber_I_PhaseA,cyber_I_PhaseB,cyber_I_PhaseC,cyber_V_PhaseA,cyber_V_PhaseB,cyber_V_PhaseC,fault_classification,flag_detection,flag_cyber
0.0107,-0.009256334,0.481088434,-0.4718321,-0.104137313,0.888892843,-0.78475553,0,0,0
0.01075,-0.017904304,0.485219899,-0.467315595,-0.119300767,0.894954299,-0.775653533,0,0,0
0.0108,-0.026547857,0.489231644,-0.462683787,-0.134434786,0.90079494,-0.766360155,0,0,0
0.01085,-0.03518486,0.493122678,-0.457937818,-0.149535636,0.906413324,-0.756877688,0,0,0
0.0109,-0.043813182,0.496892042,-0.45307886,-0.164599591,0.911808064,-0.747208473,0,0,0
0.01095,-0.052430695,0.500538805,-0.448108111,-0.179622934,0.916977829,-0.737354895,0,0,0
0.011,-0.061035271,0.504062069,-0.443026798,-0.194601957,0.921921343,-0.727319387,0,0,0
0.01105,-0.069624788,0.507460962,-0.437836174,-0.209532964,0.926637387,-0.717104423,0,0,0
0.0111,-0.078197126,0.510734648,-0.432537521,-0.224412272,0.931124797,-0.706712525,0,0,0
0.01115,-0.086750171,0.513882317,-0.427132146,-0.239236209,0.935382465,-0.696146256,0,0,0
0.0112,-0.095281811,0.516903193,-0.421621382,-0.254001118,0.939409342,-0.685408224,0,0,0
0.01125,-0.103789941,0.519796531,-0.41600659,-0.268703356,0.943204434,-0.674501077,0,0,0
0.0113,-0.112272463,0.522561617,-0.410289154,-0.283339297,0.946766804,-0.663427507,0,0,0
0.01135,-0.120727283,0.525197769,-0.404470486,-0.297905329,0.950095575,-0.652190246,0,0,0
0.0114,-0.129152314,0.527704335,-0.398552021,-0.312397858,0.953189924,-0.640792066,0,0,0
0.01145,-0.13754548,0.530080699,-0.392535219,-0.32681331,0.956049089,-0.629235779,0,0,0
0.0115,-0.145904707,0.532326273,-0.386421566,-0.341148127,0.958672364,-0.617524237,0,0,0
0.01155,-0.154227934,0.534440503,-0.380212569,-0.355398772,0.961059101,-0.605660329,0,0,0
0.0116,-0.162513107,0.536422867,-0.37390976,-0.369561728,0.963208712,-0.593646984,0,0,0
0.01165,-0.170758182,0.538272877,-0.367514695,-0.383633502,0.965120665,-0.581487164,0,0,0
0.0117,-0.178961125,0.539990076,-0.361028952,-0.39761062,0.96679449,-0.56918387,0,0,0
0.01175,-0.18711991,0.541574041,-0.35445413,-0.411489633,0.968229772,-0.556740139,0,0,0
0.0118,-0.195232527,0.54302438,-0.347791853,-0.425267118,0.969426158,-0.544159041,0,0,0
0.01185,-0.203296972,0.544340735,-0.341043764,-0.438939672,0.970383352,-0.531443679,0,0,0
0.0119,-0.211311256,0.545522783,-0.334211527,-0.452503924,0.971101117,-0.518597193,0,0,0
0.01195,-0.219273403,0.546570232,-0.327296829,-0.465956524,0.971579276,-0.505622751,0,0,0
0.012,-0.227181448,0.547482822,-0.320301375,-0.479294155,0.971817711,-0.492523556,0,0,0
0.01205,-0.235033439,0.54826033,-0.313226891,-0.492513524,0.971816363,-0.479302839,0,0,0
0.0121,-0.242827439,0.548902563,-0.306075124,-0.505611369,0.971575232,-0.465963863,0,0,0
0.01215,-0.250561526,0.549409363,-0.298847837,-0.518584461,0.971094379,-0.452509918,0,0,0
0.0122,-0.258233791,0.549780604,-0.291546813,-0.531429598,0.970373922,-0.438944324,0,0,0
0.01225,-0.265842341,0.550016196,-0.284173855,-0.544143611,0.96941404,-0.425270428,0,0,0
0.0123,-0.2733853,0.55011608,-0.27673078,-0.556723366,0.968214969,-0.411491604,0,0,0
0.01235,-0.280860805,0.550080231,-0.269219426,-0.569165757,0.966777007,-0.397611249,0,0,0
0.0124,-0.288267012,0.549908659,-0.261641647,-0.581467718,0.965100508,-0.38363279,0,0,0
0.01245,-0.295602094,0.549601405,-0.25399931,-0.593626211,0.963185886,-0.369559674,0,0,0
0.0125,-0.302864242,0.549158545,-0.246294303,-0.605638239,0.961033614,-0.355395374,0,0,0
0.01255,-0.310051662,0.548580189,-0.238528527,-0.617500838,0.958644222,-0.341143385,0,0,0
0.0126,-0.317162582,0.547866479,-0.230703897,-0.629211079,0.956018301,-0.326807222,0,0,0
0.01265,-0.324195247,0.547017591,-0.222822344,-0.640766075,0.953156498,-0.312390423,0,0,0
0.0127,-0.331147921,0.546033734,-0.214885814,-0.652162973,0.950059519,-0.297896546,0,0,0
0.01275,-0.338018888,0.544915152,-0.206896263,-0.663398962,0.946728128,-0.283329166,0,0,0
0.0128,-0.344806455,0.543662119,-0.198855665,-0.674471268,0.943163146,-0.268691878,0,0,0
0.01285,-0.351508944,0.542274946,-0.190766002,-0.685377158,0.939365452,-0.253988294,0,0,0
0.0129,-0.358124704,0.540753974,-0.182629271,-0.696113942,0.935335984,-0.239222042,0,0,0
0.01295,-0.364652101,0.53909958,-0.174447479,-0.70667897,0.931075736,-0.224396766,0,0,0
0.013,-0.371089525,0.53731217,-0.166222645,-0.717069634,0.926585757,-0.209516123,0,0,0
0.01305,-0.377435388,0.535392186,-0.157956798,-0.727283371,0.921867156,-0.194583786,0,0,0
0.0131,-0.383688124,0.533340102,-0.149651978,-0.737317658,0.916921097,-0.179603439,0,0,0
0.01315,-0.389846191,0.531156424,-0.141310234,-0.747170022,0.9117488,-0.164578778,0,0,0
0.0132,-0.395908068,0.528841692,-0.132933624,-0.756838031,0.906351542,-0.149513512,0,0,0
0.01325,-0.401872262,0.526396476,-0.124524214,-0.766319299,0.900730654,-0.134411355,0,0,0
0.0133,-0.407737299,0.523821379,-0.11608408,-0.775611488,0.894887524,-0.119276036,0,0,0
0.01335,-0.413501733,0.521117038,-0.107615305,-0.784712305,0.888823593,-0.104111288,0,0,0
0.0134,-0.419164142,0.518284119,-0.099119976,-0.793619506,0.882540358,-0.088920852,0,0,0
0.01345,-0.424723129,0.515323321,-0.090600192,-0.802330894,0.87603937,-0.073708476,0,0,0
