Time,Va_B5,Vb_B5,Vc_B5,Ia_B5,Ib_B5,Ic_B5
1.69,0.109259931865516,0.781682605394495,-0.890942537305212,0.111295678808265,0.411158670258323,-0.522454348979323
1.6905,-0.0431378977841555,0.862385369954757,-0.819247472225815,0.0255512175322494,0.463271603245187,-0.488822820720195
1.691,-0.194473532924891,0.921853346209938,-0.727379813348914,-0.0608223994865259,0.50397725272658,-0.443154853214247
1.6915,-0.341020581404394,0.958622230859395,-0.617601649525948,-0.14569836797462,0.53227330927458,-0.386574941306222
1.692,-0.479170572259458,0.971786657510639,-0.49261608532746,-0.226986757855553,0.547463030147356,-0.320476272329979
1.6925,-0.605521794800333,0.96102246975871,-0.355500675038109,-0.302685981609523,0.549172395111717,-0.246486413571345
1.693,-0.716963057972744,0.926594719295911,-0.20963166140439,-0.370932071301394,0.537359312092999,-0.166427240890028
1.6935,-0.810750314787861,0.86935113344511,-0.0586008187379633,-0.430044582190207,0.512314660219412,-0.0822700781544774
1.694,-0.884574205561392,0.790701234685208,0.093872970797965,-0.478567969107287,0.474655120870583,0.00391284808766835
1.6945,-0.93661694417112,0.692581649998006,0.244035294099317,-0.515307423108001,0.425307996782538,0.0899994261563338
1.695,-0.965597066894927,0.577408405089719,0.388188661737651,-0.539358299244697,0.365488379153846,0.173869919905791
1.6955,-0.970800981940339,0.448017448609306,0.52278353327138,-0.550128383509654,0.29666922365405,0.253459159659171
1.696,-0.95210055836315,0.307594817623047,0.644505740689822,-0.547352480930937,0.220545088002105,0.326807392725863
1.6965,-0.909956256940173,0.159598178587231,0.75035807831327,-0.531098944654549,0.138990400169897,0.392108544280145
1.697,-0.8454058126587,0.00767170520402474,0.83773410742659,-0.501767988517032,0.0540133069503552,0.447754681365666
1.6975,-0.760038673515238,-0.144443672201872,0.904482345701303,-0.460081840245339,-0.0322937722625643,0.49237561231534
1.698,-0.655956856493253,-0.293002367608174,0.948959224098287,-0.40706694974689,-0.117805672580156,0.524872622147672
1.6985,-0.535723207959634,-0.434346370196441,0.970069578165681,-0.344028719589506,-0.200416805624279,0.544445525052016
1.699,-0.402298274140731,-0.564995326399836,0.967293600562682,-0.272519361583437,-0.278093011838358,0.550612373281614
1.6995,-0.25896742148156,-0.681732220259038,0.940699641774676,-0.194299671252753,-0.348921645687088,0.5432213168247
1.7,-0.109259933652561,-0.781682605223599,0.890942538921362,-0.11129567909684,-0.411158669713345,0.522454348722919
1.7005,0.0431378996886843,-0.862385371027162,0.819247471393691,-0.0255512176763188,-0.463271603645444,0.488822821264521
1.701,0.194473531672262,-0.921853344676282,0.727379813067886,0.0608224000014704,-0.503977252631313,0.443154852604033
1.7015,0.341020581505228,-0.958622232231655,0.617601650797373,0.145698367299679,-0.53227330902899,0.386574941735571
1.702,0.479170573341403,-0.971786656852063,0.492616083586939,0.226986758416833,-0.54746303063185,0.320476272253192
1.7025,0.605521792982083,-0.961022469443903,0.355500676541552,0.302685981387398,-0.549172394585803,0.246486413267554
1.703,0.716963059787515,-0.926594720448896,0.209631660742604,0.3709320710976,-0.537359312447801,0.166427241448624
1.7035,0.810750313708722,-0.869351131926182,0.0586008182981757,0.430044582734111,-0.51231466017743,0.0822700775685894
1.704,0.884574205475707,-0.790701235954175,-0.0938729694433131,0.478567968445577,-0.474655120585443,-0.00391284771109974
1.7045,0.936616945377253,-0.692581649488868,-0.244035295814588,0.515307423619554,-0.425307997277007,-0.089999426173418
1.705,0.9655970650644,-0.57740840464001,-0.388188660356835,0.539358299088427,-0.365488378651309,-0.17386992025206
1.7055,0.970800983651464,-0.448017449828353,-0.522783533763458,0.550128383250583,-0.296669223961837,-0.253459159092314
1.706,0.952100557460786,-0.307594816132972,-0.644505741277532,0.547352481497326,-0.220545088011609,-0.32680739328275
1.7065,0.90995625667652,-0.159598179744872,-0.750358076891976,0.53109894401194,-0.138990399849609,-0.392108543957825
1.707,0.845405813972181,-0.00767170484307748,-0.837734109101018,0.501767988975952,-0.0540133074495899,-0.447754681325354
1.7075,0.760038671690698,0.144443672776537,-0.90448234445143,0.460081840153713,0.0322937727378183,-0.49237561269897
1.708,0.655956858088425,0.293002366337624,-0.94895922442291,0.407066949437344,0.117805672320424,-0.524872621578395
1.7085,0.53572320723548,0.434346371644405,-0.970069578889492,0.344028720171956,0.200416805565512,-0.5444455255757
1.709,0.402298273709034,0.564995325360143,-0.967293599091291,0.272519360965372,0.278093012189233,-0.550612373014424
1.7095,0.258967422885207,0.681732220474427,-0.940699643393712,0.19429967165677,0.348921645188128,-0.543221316729757
1.71,0.109259931851458,0.781682605912476,-0.890942537809135,0.111295679068073,0.411158670157835,-0.522454349138643
1.7105,-0.0431378982201386,0.862385369719565,-0.81924747155464,0.0255512173213887,0.463271603434297,-0.488822820698445
1.711,-0.194473532218557,0.921853346069832,-0.727379813915142,-0.0608223994092734,0.503977252525891,-0.44315485309081
1.7115,-0.341020582093828,0.958622231315112,-0.617601649292231,-0.145698367888222,0.532273309405781,-0.386574941523821
1.712,-0.479170571864938,0.971786656925829,-0.49261608513717,-0.226986758069368,0.547463030137992,-0.3204762721068
1.7125,-0.60552179474325,0.961022470235581,-0.355500675572063,-0.302685981355631,0.549172394996491,-0.246486413710011
1.713,-0.716963058454598,0.926594719118468,-0.209631660745093,-0.370932071492592,0.537359312285277,-0.166427240891107
1.7135,-0.810750314079219,0.869351133254055,-0.0586008192555511,-0.430044582138315,0.512314660028308,-0.082270078015264
1.714,-0.884574206209006,0.790701235164575,0.0938729709662122,-0.47856796900011,0.474655120983424,0.0039128478676509
1.7145,-0.936616943845304,0.692581649426157,0.24403529434535,-0.515307423329668,0.42530799679283,0.0899994263677087
1.715,-0.9655970667702,0.577408405522556,0.388188661180089,-0.539358298998938,0.365488379025611,0.173869919788268
1.7155,-0.970800982461492,0.448017448488943,0.522783533912896,-0.550128383680149,0.296669223847499,0.253459159636218
1.716,-0.952100557659169,0.307594817385006,0.644505740223883,-0.547352480903859,0.220545087822041,0.326807392878849
1.7165,-0.909956257541416,0.15959817908462,0.750358078417124,-0.531098944528492,0.138990400264042,0.392108544059943
1.717,-0.845405812401904,0.007671704650146,0.837734107723672,-0.501767988744076,0.0540133069793901,0.447754681563676
1.7175,-0.760038673326879,-0.144443671815446,0.904482345126518,-0.46008184000976,-0.0322937724020272,0.492375612219224
1.718,-0.655956857047024,-0.293002367672651,0.948959224716537,-0.407066949895886,-0.117805672387462,0.524872622103973
1.7185,-0.535723207266949,-0.434346370477216,0.970069577753772,-0.344028719586477,-0.200416805792013,0.544445525216722
1.719,-0.402298274691691,-0.564995325889996,0.967293600603802,-0.272519361440505,-0.278093011763048,0.550612373063372
1.7195,-0.258967421293421,-0.681732220790317,0.940699642117815,-0.19429967148275,-0.348921645640368,0.543221317007977
1.72,-0.109259933405029,-0.78168260488541,0.890942538335642,-0.111295678873305,-0.411158669862218,0.522454348648258
1.7205,0.0431378991090172,-0.862385371037442,0.819247471983639,-0.0255512178032592,-0.463271603455342,0.488822821201359
1.721,0.194473532347399,-0.921853344995297,0.727379812711765,0.0608223999814149,-0.503977252785599,0.443154852778376
1.7215,0.341020581007814,-0.958622231714825,0.617601650777957,0.145698367457402,-0.532273308972466,0.386574941521325
1.722,0.479170573461905,-0.971786657356524,0.492616083970898,0.226986758186237,-0.54746303056863,0.320476272420569
1.7225,0.605521793283938,-0.961022469155235,0.35550067595103,0.30268598159722,-0.549172394742253,0.246486413214184
1.723,0.716963059188646,-0.926594720407122,0.2096316612997,0.370932070993033,-0.537359312262027,0.166427241367417
1.7235,0.810750314360488,-0.869351132278762,0.0586008179989893,0.430044582692122,-0.512314660317329,0.0822700777504786
1.724,0.884574205034449,-0.790701235435657,-0.0938729695205735,0.478567968615948,-0.474655120547475,-0.00391284791943851
1.7245,0.936616945431747,-0.692581649962729,-0.244035295395222,0.515307423390619,-0.425307997198583,-0.0899994260229073
1.725,0.965597065415401,-0.577408404401614,-0.388188660946231,0.539358299283067,-0.365488378813504,-0.173869920284504
1.7255,0.970800983039996,-0.448017449737084,-0.522783533243259,0.550128383168478,-0.296669223782014,-0.253459159190032
1.726,0.952100558083827,-0.307594816514307,-0.644505741519239,0.547352481434718,-0.22054508813636,-0.32680739309539
1.7265,0.909956256293372,-0.159598179229765,-0.750358077023936,0.531098944192784,-0.138990399829798,-0.39210854415848
1.727,0.84540581396287,-0.00767170528300732,-0.837734108651778,0.501767988750831,-0.0540133073573516,-0.447754681192471
1.7275,0.760038672085406,0.144443672964431,-0.904482345034031,0.460081840331913,0.032293772571688,-0.492375612711039
1.728,0.655956857470812,0.293002366475452,-0.948959223943126,0.407066949377567,0.117805672492798,-0.524872621690992
1.7285,0.535723207824943,0.434346371239205,-0.970069579073753,0.34402872009019,0.200416805456493,-0.544445525384914
1.729,0.402298273385308,0.564995325866984,-0.967293599274406,0.272519361154501,0.278093012191446,-0.550612373205766
1.7295,0.258967422814825,0.68173222007129,-0.940699642920192,0.194299671437488,0.348921645292714,-0.543221316615061
1.73,0.109259932284236,0.781682606050134,-0.890942538379571,0.111295679228783,0.411158669989545,-0.522454349131063
1.7305,-0.0431378988376533,0.86238536990069,-0.819247471118252,0.0255512172835961,0.463271603597859,-0.488822820824213
1.731,-0.194473531667001,0.921853345645683,-0.727379814042549,-0.0608223995086115,0.50397725243301,-0.44315485289859
1.7315,-0.341020582357451,0.958622231809113,-0.617601649522608,-0.145698367692986,0.532273309391105,-0.38657494170438
1.732,-0.479170571993183,0.971786656561873,-0.492616084644968,-0.226986758280924,0.5474630302534,-0.320476272010651
1.7325,-0.605521794278176,0.961022470323747,-0.355500676125304,-0.302685981213244,0.549172394827762,-0.246486413683669
1.733,-0.716963059066029,0.926594719339341,-0.209631660354536,-0.370932071508945,0.537359312438803,-0.166427241028282
1.7335,-0.810750313569352,0.869351132815857,-0.0586008193272209,-0.430044582253534,0.512314659951797,-0.0822700778235344
1.734,-0.884574206412457,0.790701235641474,0.0938729706927634,-0.478567968800913,0.474655120952698,0.00391284769917973
1.7345,-0.936616944027773,0.69258164910329,0.244035294850687,-0.515307423531769,0.425307996917493,0.0899994264451459
1.735,-0.965597066278679,0.577408405562424,0.388188660648698,-0.539358298875497,0.365488378858098,0.17386991983234
1.7355,-0.970800983061158,0.448017448745776,0.522783534255729,-0.550128383675789,0.296669223989917,0.25345915948944
